t_ms,profile,controller,ref_rpm,meas_rpm,pwm_cmd,dir,enc_count,integrator
0,P2,CASC,0.00,0.00,0,N,0,0.0000
10,P2,CASC,0.15,0.00,30,F,0,0.0015
20,P2,CASC,0.30,0.00,60,F,0,0.0045
30,P2,CASC,0.45,0.00,90,F,0,0.0090
40,P2,CASC,0.60,0.00,120,F,0,0.0150
50,P2,CASC,0.75,0.00,150,F,0,0.0225
60,P2,CASC,0.90,0.00,154,F,0,0.0315
70,P2,CASC,1.05,0.00,154,F,0,0.0420
80,P2,CASC,1.20,0.00,154,F,0,0.0540
90,P2,CASC,1.35,10.00,147,F,4,-0.0325
100,P2,CASC,1.50,15.00,143,F,10,-0.1675
110,P2,CASC,1.65,17.50,140,F,17,-0.3260
120,P2,CASC,1.80,17.50,140,F,24,-0.4830
130,P2,CASC,1.95,20.00,138,F,32,-0.6635
140,P2,CASC,2.10,22.49,136,F,41,-0.8675
150,P2,CASC,2.25,25.00,133,F,51,-1.0950
160,P2,CASC,2.40,25.00,133,F,61,-1.3210
170,P2,CASC,2.55,22.51,134,F,70,-1.5205
180,P2,CASC,2.70,27.49,130,F,81,-1.7684
190,P2,CASC,2.85,25.01,131,F,91,-1.9900
200,P2,CASC,3.00,27.49,129,F,102,-2.2350
210,P2,CASC,3.15,25.00,131,F,112,-2.4535
220,P2,CASC,3.30,30.00,126,F,124,-2.7205
230,P2,CASC,3.45,25.00,130,F,134,-2.9360
240,P2,CASC,3.60,29.99,125,F,146,-3.1999
250,P2,CASC,3.75,27.51,127,F,157,-3.4375
260,P2,CASC,3.90,30.00,124,F,169,-3.6985
270,P2,CASC,4.05,29.99,124,F,181,-3.9579
280,P2,CASC,4.20,27.50,125,F,192,-4.1909
290,P2,CASC,4.35,27.50,125,F,203,-4.4224
300,P2,CASC,4.50,30.00,122,F,215,-4.6774
310,P2,CASC,4.65,27.51,124,F,226,-4.9060
320,P2,CASC,4.80,30.00,121,F,238,-5.1579
330,P2,CASC,4.95,30.00,121,F,250,-5.4085
340,P2,CASC,5.10,30.00,120,F,262,-5.6575
350,P2,CASC,5.25,30.00,120,F,274,-5.9050
360,P2,CASC,5.40,27.49,121,F,285,-6.1259
370,P2,CASC,5.55,30.01,119,F,297,-6.3705
380,P2,CASC,5.70,27.49,120,F,308,-6.5884
390,P2,CASC,5.85,27.51,120,F,319,-6.8050
400,P2,CASC,6.00,27.49,120,F,330,-7.0199
