t_ms,profile,controller,ref_rpm,meas_rpm,pwm_cmd,dir,enc_count,integrator
0,P4,BASE,150.00,0.00,30,F,0,1.5000
10,P4,BASE,150.00,0.00,60,F,0,3.0000
20,P4,BASE,150.00,0.00,90,F,0,4.5000
30,P4,BASE,150.00,0.00,120,F,0,6.0000
40,P4,BASE,150.00,0.00,150,F,0,7.5000
50,P4,BASE,150.00,2.50,180,F,1,8.9750
60,P4,BASE,150.00,0.00,210,F,1,10.4750
70,P4,BASE,150.00,10.00,220,F,5,11.8750
80,P4,BASE,150.00,22.50,216,F,14,13.1500
90,P4,BASE,150.00,32.51,213,F,27,14.3250
100,P4,BASE,150.00,55.01,196,F,49,15.2749
110,P4,BASE,150.00,59.98,197,F,73,16.1751
120,P4,BASE,150.00,70.03,192,F,101,16.9748
130,P4,BASE,150.00,72.48,195,F,130,17.7500
140,P4,BASE,150.00,80.02,192,F,162,18.4499
150,P4,BASE,150.00,82.50,194,F,195,19.1249
160,P4,BASE,150.00,89.98,190,F,231,19.7251
170,P4,BASE,150.00,90.01,194,F,267,20.3250
180,P4,BASE,150.00,95.02,193,F,305,20.8748
190,P4,BASE,150.00,94.98,196,F,343,21.4250
200,P4,BASE,150.00,97.48,197,F,382,21.9502
210,P4,BASE,150.00,102.51,195,F,423,22.4251
220,P4,BASE,150.00,100.03,201,F,463,22.9248
230,P4,BASE,150.00,107.47,196,F,506,23.3501
240,P4,BASE,150.00,105.00,202,F,548,23.8001
250,P4,BASE,150.00,110.01,199,F,592,24.2000
260,P4,BASE,150.00,107.49,204,F,635,24.6251
270,P4,BASE,150.00,115.02,199,F,681,24.9749
280,P4,BASE,150.00,117.48,199,F,728,25.3001
290,P4,BASE,150.00,117.54,201,F,775,25.6247
300,P4,BASE,150.00,119.98,200,F,823,25.9250
310,P4,BASE,150.00,119.99,202,F,871,26.2251
320,P4,BASE,150.00,122.46,202,F,920,26.5005
330,P4,BASE,150.00,120.07,206,F,968,26.7997
340,P4,BASE,150.00,119.99,208,F,1016,27.0999
350,P4,BASE,150.00,122.51,207,F,1065,27.3747
360,P4,BASE,150.00,127.46,204,F,1116,27.6001
370,P4,BASE,150.00,125.01,208,F,1166,27.8500
380,P4,BASE,150.00,127.50,207,F,1217,28.0750
390,P4,BASE,150.00,129.99,206,F,1269,28.2751
400,P4,BASE,150.00,129.99,207,F,1321,28.4753
410,P4,BASE,150.00,135.04,203,F,1375,28.6249
420,P4,BASE,150.00,132.47,206,F,1428,28.8001
430,P4,BASE,150.00,135.01,205,F,1482,28.9500
440,P4,BASE,150.00,129.99,211,F,1534,29.1501
450,P4,BASE,150.00,132.51,210,F,1587,29.3250
460,P4,BASE,150.00,130.00,214,F,1639,29.5250
470,P4,BASE,150.00,135.01,210,F,1693,29.6748
480,P4,BASE,150.00,139.97,205,F,1749,29.7751
490,P4,BASE,150.00,139.99,206,F,1805,29.8753
500,P4,BASE,150.00,139.97,207,F,1861,29.9755
510,P4,BASE,150.00,142.59,204,F,1918,30.0497
520,P4,BASE,150.00,147.50,200,F,1977,30.0747
530,P4,BASE,150.00,145.00,202,F,2035,30.1247
540,P4,BASE,150.00,142.49,205,F,2092,30.1998
550,P4,BASE,150.00,137.47,211,F,2147,30.3251
560,P4,BASE,150.00,142.49,207,F,2204,30.4002
570,P4,BASE,150.00,140.03,210,F,2260,30.5000
580,P4,BASE,150.00,145.00,205,F,2318,30.5500
590,P4,BASE,150.00,147.50,203,F,2377,30.5750
600,P4,BASE,150.00,155.00,195,F,2439,30.5250
610,P4,BASE,150.00,137.50,214,F,2494,30.6500
620,P4,BASE,150.00,132.50,220,F,2547,30.8250
630,P4,BASE,150.00,144.97,207,F,2605,30.8753
640,P4,BASE,150.00,150.05,202,F,2665,30.8748
650,P4,BASE,150.00,150.00,202,F,2725,30.8748
660,P4,BASE,150.00,144.97,208,F,2783,30.9251
670,P4,BASE,150.00,147.47,205,F,2842,30.9504
680,P4,BASE,150.00,145.01,208,F,2900,31.0002
690,P4,BASE,150.00,145.00,209,F,2958,31.0502
700,P4,BASE,150.00,145.06,209,F,3016,31.0997
710,P4,BASE,150.00,144.96,209,F,3074,31.1501
720,P4,BASE,150.00,150.01,204,F,3134,31.1499
730,P4,BASE,150.00,147.49,207,F,3193,31.1751
740,P4,BASE,150.00,150.01,204,F,3253,31.1749
