t_ms,profile,controller,ref_rpm,meas_rpm,pwm_cmd,dir,enc_count,integrator
0,P4,CASC,150.00,0.00,30,F,0,0.0000
10,P4,CASC,150.00,0.00,60,F,0,0.0000
20,P4,CASC,150.00,0.00,90,F,0,0.0000
30,P4,CASC,150.00,0.00,120,F,0,0.0000
40,P4,CASC,150.00,0.00,150,F,0,0.0000
50,P4,CASC,150.00,0.00,180,F,0,0.0000
60,P4,CASC,150.00,7.50,210,F,3,0.0000
70,P4,CASC,150.00,17.50,240,F,10,1.3250
80,P4,CASC,150.00,30.01,252,F,22,2.5249
90,P4,CASC,150.00,40.00,253,F,38,3.6249
100,P4,CASC,150.00,47.50,253,F,57,4.6500
110,P4,CASC,150.00,57.51,253,F,80,5.5748
120,P4,CASC,150.00,67.49,252,F,107,6.3999
130,P4,CASC,150.00,74.99,252,F,137,7.1500
140,P4,CASC,150.00,80.00,253,F,169,7.8500
150,P4,CASC,150.00,92.51,251,F,206,8.4249
160,P4,CASC,150.00,102.47,249,F,247,8.9002
170,P4,CASC,150.00,107.53,249,F,290,9.3249
180,P4,CASC,150.00,119.99,246,F,338,9.6250
190,P4,CASC,150.00,125.03,246,F,388,9.8747
200,P4,CASC,150.00,139.99,242,F,444,9.9749
210,P4,CASC,150.00,144.97,240,F,502,10.0252
220,P4,CASC,150.00,152.55,233,F,563,9.9997
230,P4,CASC,150.00,154.98,231,F,625,9.9499
240,P4,CASC,150.00,154.98,231,F,687,9.9000
250,P4,CASC,150.00,159.98,227,F,751,9.8002
260,P4,CASC,150.00,162.53,225,F,816,9.6749
270,P4,CASC,150.00,167.45,220,F,883,9.5004
280,P4,CASC,150.00,172.53,216,F,952,9.2750
290,P4,CASC,150.00,172.40,215,F,1021,9.0511
300,P4,CASC,150.00,152.59,231,F,1082,9.0251
310,P4,CASC,150.00,170.02,217,F,1150,8.8250
320,P4,CASC,150.00,172.47,214,F,1219,8.6003
330,P4,CASC,150.00,170.00,216,F,1287,8.4003
340,P4,CASC,150.00,172.55,213,F,1356,8.1748
350,P4,CASC,150.00,167.45,217,F,1423,8.0003
360,P4,CASC,150.00,167.55,216,F,1490,7.8248
370,P4,CASC,150.00,167.43,216,F,1557,7.6505
380,P4,CASC,150.00,167.55,215,F,1624,7.4750
390,P4,CASC,150.00,169.97,213,F,1692,7.2753
400,P4,CASC,150.00,172.52,210,F,1761,7.0501
410,P4,CASC,150.00,167.48,214,F,1828,6.8753
420,P4,CASC,150.00,165.05,215,F,1894,6.7248
430,P4,CASC,150.00,162.45,217,F,1959,6.6003
440,P4,CASC,150.00,162.55,217,F,2024,6.4748
450,P4,CASC,150.00,162.48,216,F,2089,6.3500
460,P4,CASC,150.00,162.52,216,F,2154,6.2248
470,P4,CASC,150.00,162.45,216,F,2219,6.1003
480,P4,CASC,150.00,162.53,215,F,2284,5.9750
490,P4,CASC,150.00,167.52,211,F,2351,5.7998
