direction,pwm,K_ss_mean,K_ss_std,Td_mean,Td_std,tau_mean,tau_std,rms_rise_mean,rms_ss_mean,n
fwd,180,89.55190702437042,1.7288229396215156,2.334033946549557,3.7301211957334153,102.92237078718276,6.872700290335402,3.6954333283551906,3.715851361179536,5
fwd,220,175.3733099643005,0.3334894820939048,6.427388811728932,1.1277711720340768,108.40671822816091,2.0498353616783787,4.965710056873551,5.185823295657428,5
rev,180,-93.96816147426627,0.8520537299587672,1.2475487704580368,1.2315398163664295,93.07755370448311,0.8812067106208279,3.344904710808269,3.418638395769481,5
rev,220,-180.01265759197955,0.5733499752464734,7.4686521912139625,1.2800184976415772,102.60673183189078,1.5678682380170048,5.099053438840167,5.424053269983577,5
