direction,pwm,run,K_ss,Td_ms,tau_ms,rms_rise,rms_ss,rms_total,fit_ok
fwd,160,1,48.95728645745592,1.7949109215850864e-14,225.03480639280062,3.1665211087473284,1.8934454553756075,2.331879393105421,True
fwd,160,2,52.99712823381538,2.759421316221371e-15,183.3452367716076,2.101794407316671,2.1302683652049232,1.9945174416841693,True
fwd,160,3,54.275715109775724,6.950658763395906e-13,191.90095298625275,2.5764506962905473,2.3422884145579457,2.236543761807351,True
fwd,200,1,121.98622596104256,4.0027666688444175,99.69040452481423,2.565485532886225,2.6596602757145553,2.4624485143726207,True
fwd,200,2,124.40561536709828,5.705926271536234,95.19998678058921,2.364321514708541,2.6335094188918706,2.464376498148693,True
fwd,200,3,124.18414347847283,5.046761505006812,90.40278139787608,2.502697273858126,2.755373810895503,2.492969049999246,True
fwd,240,1,205.08614047599914,17.75883931287457,151.83248706211074,4.536849266013653,4.252958713283131,4.002752411498908,True
fwd,240,2,210.7899172020956,17.104839862433188,149.75727241883718,4.75450545750848,4.04817407359031,4.134053973972888,True
fwd,240,3,213.34495191669785,16.309130841928617,155.18416750479676,4.775286773347971,4.288501252530414,4.2092587253099705,True
rev,160,1,-71.14134829281669,1.1908513960425788e-16,178.1814490037491,4.515352684289929,2.380122262784103,3.4346432950821857,True
rev,160,2,-67.8708251760641,1.554178031692081e-11,201.7783030446934,2.8811927451393657,2.468848502133427,2.5395843545828787,True
rev,160,3,-69.64782563082186,2.7499587279983763e-20,194.99712888371752,4.6909673691427045,2.572689049028156,3.239960742950752,True
rev,200,1,-131.47290380534648,5.334409042145658,81.21926267506949,2.3858578769697734,2.434424766509634,2.321789980365979,True
rev,200,2,-131.16608402390867,5.883090375897278,80.31089716177436,2.3501114141632935,2.4349346300572563,2.5241782267403043,True
rev,200,3,-131.40663348624093,5.677416791174414,82.18608549698399,3.238127802827636,5.027492548501084,3.322830776018065,True
rev,240,1,-219.8968374503103,22.76363763566646,142.81940586696695,7.298564813494688,7.357510489916483,6.114692535351319,True
rev,240,2,-223.35969219948035,23.71136368399821,147.25131444802565,7.222250202439604,4.357571446614538,5.88769143188259,True
rev,240,3,-224.41744327541093,23.981153101772097,143.21084106793293,6.99727284976218,6.276445528247659,6.1017599053078975,True
