group,region,direction,n,rmse_A,rmse_B,rmse_C,fit_A,fit_B,fit_C,rmse_tr_A,rmse_tr_B,rmse_tr_C,session,allk
region x dir,accel,fwd,19,35.69771326836722,7.626106000673761,4.216981951765331,-246.32548554483378,47.534000248430495,69.6272271038257,30.85574675874317,18.754881911034722,4.1744103779919755,,
region x dir,accel,rev,19,33.67592211087968,8.530839558772822,4.367233726606333,-173.41956861148918,43.87625032756773,71.49329185322763,31.40133622717359,22.423583972256548,4.493469044579042,,
region x dir,decel,fwd,15,35.66308683747819,8.948466422249124,4.385757336336976,-37.53889761226872,59.00180663868218,73.48970246721596,32.8003406914173,15.189918692404968,6.144679125919775,,
region x dir,decel,rev,15,35.09938877108708,9.229609896440447,4.307009809390989,-35.2884418897561,59.948088357102215,75.61277558987351,34.23528699961194,16.325574542656287,6.318370183725344,,
session,,,30,34.770020349792325,7.066833084976091,4.070143403679351,-157.04458596299685,62.765230226598554,78.32421171438406,33.327704509047614,15.741575417761918,5.832129898689277,P2.1,
session,,,38,35.16935778527369,9.674950470014366,4.510192183278963,-114.63759322659479,43.107533660073045,67.5815968318114,31.2786278112218,20.60199967830514,4.649251360864415,gap-fill,
overall,,,68,34.993179504914266,8.524310447203362,4.316053015808546,-133.3465606103016,51.780046851187244,72.32098575059345,32.18263223673319,18.45769485747725,5.171109539316561,,all
