region,direction,n,rmse_A,rmse_B,rmse_C,fit_A,fit_B,fit_C,rmse_tr_A,rmse_tr_B,rmse_tr_C
accel,fwd,9,42.0616838054135,6.039682985606542,3.8267386291547774,-332.1935851878811,56.628130952301085,71.77936215085259,36.50405398719397,13.240995532415395,4.030863105318591
accel,rev,9,38.384748605525914,7.1661093099099356,4.32957832438254,-191.2961720249579,53.92734123594868,73.37088147269871,38.30230696226542,17.18373721285413,5.005853163168717
decel,fwd,6,28.31353500201668,6.673128653186187,4.31126396366044,-12.757141828954097,76.44388496798474,85.18716252254784,29.176600327639473,13.613415961740259,7.959639522364491
decel,rev,6,24.397332452704873,8.31058467831856,3.804977624430338,11.499566033042681,73.25249802898367,88.70853061404556,28.486436860783254,17.012866082050685,7.645935568350933
ALL,all,30,34.67610321422614,6.958480354955891,4.070143403679351,-157.298442323034,63.10591825586862,78.32421171438408,33.97451572252236,15.252676232339047,5.832129898689278
