direction,start_pwm,target_pwm,run,y_init_loocv,y_final_loocv,Td_loocv,tau_loocv,y_init_self,y_final_self,Td_self,tau_self,rmse_fit_window,rmse_post,rmse_transient,rmse_ss,rms_total_self_floor,rms_decel_self_diag
fwd,240,0,1,214.23316035442278,-0.7088538345134001,54.446111037905794,173.0265234483255,214.3395283129138,-0.6649911174902172,56.67719014277088,170.5081800198042,5.160313169418152,4.722307985885675,11.23366507030429,0.6835037966402755,5.153448379580435,8.531894106859975
fwd,240,0,2,214.43400942689698,-0.6818655397088966,56.326329479363466,171.25941145234847,213.9378301679654,-0.7189677070992241,52.91675325985555,174.04240401175824,5.242416246861751,4.880294727954075,11.689615466407156,0.6600550429180384,5.220704683858843,8.767554560885532
fwd,240,0,3,214.13867924043961,-0.6919794122947207,54.79697170131321,172.27529201578122,214.52849054088017,-0.6987399619275761,55.97546881595605,172.01064288489275,5.111456908631147,4.820143631617366,11.463536019741213,0.6674570695756702,5.104742517228443,8.714836162753848
fwd,240,160,1,215.84995246356715,73.1218848581079,11.914865970908854,279.92070750923676,215.3923530033708,75.01999382721299,18.35459745582095,265.9197513352723,4.490980573716216,3.9916216981444426,4.28223746985526,3.8730537421636537,4.213764815537905,4.309737149671147
fwd,240,160,2,215.66632504047823,73.95194691514475,13.351467934112776,274.6191324418436,215.75960784954864,73.3598697131393,15.481393529413108,276.5229014700586,4.39196054518765,3.804585258632274,4.653111657147522,3.426229124996732,4.361540201500225,4.497170995017324
fwd,240,160,3,215.57598042645972,74.18993177017614,16.91799549261703,271.22132640266545,215.94029707758563,72.8839000030765,8.348338412404601,283.3185135484149,4.507325085848234,3.995326275514661,4.623865415021814,3.7334315876440125,4.374140244506902,4.36763018025287
rev,240,0,1,-229.37603112642836,-7.114971125454368e-18,61.71820714058768,191.57448653268233,-228.57448597743576,-6.9350950542816825e-18,65.35819029070288,185.47013365136908,5.1481835776619045,5.355987289141271,12.216408180188004,0.3329114121081159,5.110890306288526,9.65011425438338
rev,240,0,2,-229.08794391837088,-3.683759561153529e-18,65.15263030945732,187.72880449917892,-229.1506603935507,-1.379751818288336e-17,58.489343952963615,193.16149771837593,5.253307170659312,5.494412334607702,12.652373710256304,0.33850862410901983,5.262162444570825,10.019052687220674
rev,240,0,3,-228.86257318549323,-1.0366306618582521e-17,61.92376712183325,189.31581568487252,-229.601401859306,-4.3242406802537554e-19,64.94707032821175,189.98747534698873,5.834683387745647,5.322327886459449,12.188586716194493,0.35217378693835555,5.795175046760956,9.663903448511972
rev,240,160,1,-232.08125167634518,-86.14963473384651,9.918641605948146,308.39792160638217,-230.9973299994988,-84.68512320831806,9.9999772757294,302.465689653721,3.6615235605454646,2.883599201461134,4.0459858490075495,2.167093790447993,3.3146724618720653,3.4810586787160247
rev,240,160,2,-231.5263382750415,-85.59492280542014,9.776932363955336,306.45501838925884,-232.10715680210615,-85.79454706517082,10.28339575971502,306.3514960879675,2.363764082430308,1.953933156749507,2.462300145245601,1.6797276234625313,2.340180462550389,2.4659200376028525
rev,240,160,3,-231.55224340080247,-85.23983513674443,10.14168651772221,304.40859287084425,-232.05534655058423,-86.5047224025222,9.55388745218127,310.44434712479676,2.857321351233788,2.3802963683409426,2.9652697374041956,2.0714736308759503,2.5492623132080703,2.5242260248616204
