direction,start_pwm,target_pwm,run,y_init,y_final,Td_ms,tau_ms,rms_decel,rms_total,fit_ok
fwd,240,0,1,214.33952831291379,-0.6649911174902172,56.677190142770876,170.5081800198042,8.531894106859975,5.153448379580435,True
fwd,240,0,2,213.9378301679654,-0.7189677070992241,52.91675325985555,174.04240401175824,8.767554560885532,5.220704683858843,True
fwd,240,0,3,214.52849054088014,-0.6987399619275761,55.97546881595605,172.01064288489275,8.714836162753848,5.104742517228443,True
fwd,240,160,1,215.3923530033708,75.01999382721299,18.35459745582095,265.9197513352723,4.309737149671147,4.213764815537905,True
fwd,240,160,2,215.75960784954864,73.3598697131393,15.481393529413108,276.5229014700586,4.497170995017324,4.361540201500225,True
fwd,240,160,3,215.94029707758565,72.8839000030765,8.348338412404601,283.3185135484149,4.36763018025287,4.374140244506902,True
rev,240,0,1,-228.57448597743576,-6.9350950542816825e-18,65.35819029070288,185.47013365136908,9.65011425438338,5.110890306288526,True
rev,240,0,2,-229.1506603935507,-1.379751818288336e-17,58.489343952963615,193.16149771837593,10.019052687220674,5.262162444570825,True
rev,240,0,3,-229.60140185930598,-4.3242406802537554e-19,64.94707032821175,189.98747534698873,9.663903448511972,5.795175046760956,True
rev,240,160,1,-230.9973299994988,-84.68512320831806,9.999977275729401,302.465689653721,3.4810586787160247,3.3146724618720653,True
rev,240,160,2,-232.10715680210618,-85.79454706517082,10.283395759715019,306.3514960879675,2.4659200376028525,2.340180462550389,True
rev,240,160,3,-232.05534655058423,-86.5047224025222,9.55388745218127,310.44434712479676,2.5242260248616204,2.5492623132080703,True
