direction,pwm,run,K_ss_loocv,Td_loocv,tau_loocv,K_ss_self,Td_self,tau_self,rmse_post,rmse_rise,rmse_ss,rms_rise_self_floor,rms_ss_self_floor
fwd,160,1,53.636420798378424,8.398407140820064e-12,187.62298887202508,48.95728859902526,2.8313861292469095e-15,225.03507804329985,5.469540104350292,7.381623957492473,4.922059394442999,3.166521559613718,1.893445633388665
fwd,160,2,51.61650266762301,1.9282428312395165e-14,208.46810974596264,52.9971248605361,1.6761080811144584e-11,183.34483629542473,2.6670746607501,3.044881053747786,2.557271616046203,2.1017935538279806,2.1302692004587676
fwd,160,3,50.977206729780676,8.381956098636916e-12,204.1899571693623,54.27571673622075,3.573347049554342e-14,191.90114144862545,4.056457204933763,3.3411188727624137,4.221886207884732,2.5764513248128535,2.342288083573059
fwd,200,1,124.29487977487395,5.3763318963623,92.80141043401778,121.98622940159603,4.0026274984238945,99.69067948292982,3.54772411034795,4.413323137692361,3.445486662614297,2.565486150156159,2.6596597720199946
fwd,200,2,123.0851867953285,4.524681794926572,95.04675743179875,124.40561536068694,5.7059277012953515,95.1999854873679,2.889478345534506,1.965499161320369,2.9705911981047,2.364321513752833,2.6335094193761925
fwd,200,3,123.19592238114149,4.854277599859623,97.44533248514887,124.18414418906096,5.04673609142925,90.40283538066768,2.9004001014311287,3.5190558273920756,2.8250371079689263,2.5026974193309695,2.7553736840498586
fwd,240,1,212.06743561491368,16.7069634610556,152.47076581335202,205.08613757552808,17.758900099356516,151.83235695327892,7.998014350250527,6.607390626115732,8.225900503303949,4.536849138490143,4.252958978754829
fwd,240,2,209.21554588040715,17.033992204569273,153.50831137753738,210.7899170445411,17.10484261232917,149.75726582490816,4.659644270568884,5.859374839806421,4.406248867972764,4.754505446595783,4.048174091531712
fwd,240,3,207.9380273100346,17.431871355842844,150.79481138909352,213.34495418528624,16.309084309782033,155.18426580179587,6.796671776556694,6.853512668894982,6.786432999373807,4.775286957623706,4.288500482449978
rev,160,1,-68.75931028395621,1.0338132729991043e-11,198.38634368973726,-71.14134829583082,5.464145933065374e-16,178.1814489560979,4.457996954373044,5.177328623268889,4.259731119127612,4.51535268335624,2.3801222626309615
rev,160,2,-70.3945766052255,2.782146983889782e-16,186.5883564393455,-67.87081565329225,2.0676255445178615e-11,201.77742345688145,3.759748728908044,4.7973613988049015,3.4763544483706394,2.881191811261563,2.4688479310870997
rev,160,3,-69.50608197456154,1.033840092988596e-11,189.97943620648968,-69.64780491462017,1.001480347141896e-17,194.9952639225931,3.4020023257814187,5.5082400489693475,2.6779587817061667,4.6909604209013125,2.5726940961157965
rev,200,1,-131.28635960135097,5.7802241080566725,81.24855286648894,-131.47290369198467,5.334410814152239,81.21925590168924,2.4432621534093193,2.3598087620491355,2.4505624518359825,2.3858578582742984,2.4344247693620287
rev,200,2,-131.43976939318827,5.505886021014773,81.70272902168745,-131.16608410831003,5.8830869882360375,80.31090359129222,2.6611422920163195,2.454800972542199,2.67880049440579,2.35011142202522,2.4349346236753044
rev,200,3,-131.31949390014734,5.608748901194138,80.76507974649073,-131.4066350943919,5.677361227877308,82.18620214168565,3.488371157062728,2.275192069770692,3.5765841552212794,3.2381280338196827,5.027492159144962
rev,240,1,-223.8885792833139,23.846018756027007,145.23156392401364,-219.89683882259257,22.763607948466333,142.81946523528555,7.462179152473237,7.280768018585678,7.49275361050912,7.298564677661676,7.357510494026915
rev,240,2,-222.15715238731562,23.372145666424025,143.0156301995748,-223.35969261458916,23.711354127672298,147.25133268416326,6.286769051610722,8.088243847252091,5.930184742003614,7.222250197799381,4.357571411795735
rev,240,3,-221.62826571859085,23.237481038069316,145.0353989597244,-224.41746595203867,23.980683384381717,143.21179516386402,6.973821588339801,9.004881090450876,6.563984888266237,6.997270680172812,6.2764448683547895
