direction,pwm,run,K_ss,Td_ms,tau_ms,rms_rise,rms_ss,rms_total,fit_ok
fwd,180,1,86.62423767680336,8.555136158397541,93.1501062749788,3.9775846259559504,4.150699712203442,3.8731449717411923,True
fwd,180,2,90.48457055225947,6.132252688699122e-11,107.26548139736289,3.5674747124475954,3.8362243603337576,3.6270767166863296,True
fwd,180,3,90.85517033952308,2.5143426243371196e-14,106.9356357531009,3.791488924220672,3.489436171981985,3.5465845846556325,True
fwd,180,4,89.3609091834633,3.115033574288759,98.26992314140638,3.507644643790383,3.7893221663049292,3.458007490008768,True
fwd,180,5,90.43464736980293,1.3709927033908835e-13,108.9907073690649,3.6329737353613494,3.3135743950735645,3.08351332815004,True
fwd,220,1,175.05977467628512,4.845643004396879,106.72011216679476,5.254981558529509,5.594846667728104,5.278434744151849,True
fwd,220,2,175.62359384556706,6.971675707098978,106.72441131852509,4.87676891006593,4.920198646117421,4.93143524269979,True
fwd,220,3,175.7991361034276,7.50545531604872,107.350554690865,4.994847823774947,5.085332237622515,4.788537750572381,True
fwd,220,4,175.05627205193784,7.1575020217491065,110.2828259353579,4.828556445912395,5.237766590780999,4.842021555342339,True
fwd,220,5,175.32777314428483,5.656668009350976,110.9556870292618,4.873395546084972,5.090972336038104,4.769651617183097,True
rev,180,1,-95.2275064178926,2.1433418981288574,91.69922568812295,3.1982443384201678,3.595614433446414,3.184097021943065,True
rev,180,2,-94.42017292486848,2.7077586123208066,93.19803078054737,3.38508898367404,3.339967270615903,3.1665561151143917,True
rev,180,3,-93.48324721250958,4.64674471416405e-10,92.84128171210814,3.219987709163423,3.8143976931412977,3.2592924337064004,True
rev,180,4,-93.60643216040782,1.8528562511274982e-10,93.92404378210603,3.4406126048011454,3.286296976200645,3.1430864227297772,True
rev,180,5,-93.10344865565285,1.38664334119056,93.72518655953101,3.480589917982569,3.056915605443145,3.2295836728013128,True
rev,220,1,-179.59516077713548,8.406764541630404,103.09683597504088,4.967986386022908,5.266065074846664,4.960452773313661,True
rev,220,2,-180.60961121976624,9.029279970507824,104.02807395321054,4.977990419336827,5.413957117715123,4.877187590549176,True
rev,220,3,-179.25069804960847,6.950769378592461,99.94264949588707,5.037037275487384,5.277442819449689,5.071289620052883,True
rev,220,4,-180.43434379333982,7.188179554818108,102.67332214120631,5.21156057440009,5.526932149535189,5.260676262653042,True
rev,220,5,-180.17347412004773,5.768267510521014,103.29277759410917,5.3006925389536255,5.6358691883712195,5.262880046329557,True
