direction,start_pwm,target_pwm,run,y_init_loocv,y_final_loocv,Td_loocv,tau_loocv,y_init_self,y_final_self,Td_self,tau_self,rmse_fit_window,rms_total_self_floor
fwd,240,100,1,220.38883497701534,0.5431266869958306,24.812511077517676,366.5896461564512,220.6543688910435,2.1737888201118345,26.912267238774508,365.5146109213447,4.921529333502397,4.706006207180853
fwd,240,100,2,220.21834948791377,1.6413463454780737,25.967689076922632,365.3034629156017,220.99533986924658,-0.022650496852651577,24.601911239964593,368.08697740304353,3.7658117417632013,3.499397262694065
fwd,240,100,3,220.82485438014504,1.0755691616295915,25.75708923936955,366.8007941621941,219.78233008478406,1.1089038708443126,25.02311091507076,365.09231490985877,4.06143807623007,4.02298778793018
fwd,240,180,1,219.7816659323803,93.72885982226612,0.4952175073657956,358.2517643811349,220.04002177135777,95.0806116678873,4.5173433227839673e-10,353.1499225034798,4.567705725952834,4.433506988362082
fwd,240,180,2,220.34213848145055,94.37704807578768,0.4952175075916625,356.69535104083764,218.91907667321726,93.78423516084415,5.526500067797586e-16,356.26274918407427,4.498498781952854,4.412835639033128
fwd,240,180,3,219.47954922228752,94.43242341436573,2.2586744246420174e-10,354.706335843777,220.6442551915433,93.67348448368807,0.9904350147315907,360.24077957819554,4.66023994550212,4.58834932157582
fwd,240,220,1,220.54342966888856,176.48297427452275,1.0158432332884377,130.94121558607253,217.1355339738355,174.84986254329377,24.722369891662087,106.71358062151843,5.994502531694081,5.597796450149829
fwd,240,220,2,220.02845969232072,176.53206952799195,13.377028179118616,114.80289243263735,218.16547392697117,174.7516720363554,1.7310897113034706e-12,138.9902269283888,5.947135490663626,5.654274684271479
fwd,240,220,3,217.65050395040333,174.8007672898246,12.361184945831909,122.85190377495363,222.92138541080595,178.2142765126901,2.0316864665751444,122.89220424375625,6.915404370225128,5.801614653596805
rev,240,100,1,-228.73724610337175,-2.1127339605606434e-15,29.376676894976494,337.8793090644465,-232.2300980694824,-1.8292558447059846,17.061507930076008,371.30395612021556,5.950416952154629,4.83922317976865
rev,240,100,2,-232.15864127853632,-0.9146279223529925,21.373660444811094,357.949697739019,-225.38730771915328,-3.7684676576395585e-15,33.067540830406806,331.16317877107053,5.532408298044759,3.947605583081822
rev,240,100,3,-228.80870289431783,-0.9146279223529942,25.06452438024141,351.2335674456431,-232.0871844875902,-4.570002634817284e-16,25.685812959546183,344.5954393578224,4.3862816575002315,3.903246494893686
rev,240,180,1,-228.7507005924652,-95.6878657459916,6.81784393121888,321.9116169658995,-231.95663373408456,-97.31056282274271,4.187408820484211,320.16317986735,4.860203539130565,4.443150362399767
rev,240,180,2,-229.25867080974592,-97.02291344009741,7.093352995260499,311.4841880957521,-230.9406932995231,-94.64046743453109,3.636390692400972,341.01803760764477,5.028681776299542,4.567742464235245
rev,240,180,3,-231.44866351680383,-95.9755151286369,3.9118997564425912,330.5906087374974,-226.5607078854073,-96.73526405745211,9.999297170036787,302.80519632415417,5.152994506189688,4.495075060001612
rev,240,220,1,-229.67852177138522,-180.93369684842543,12.960362887295656,108.92390753893235,-231.18782169353378,-183.60359720381194,8.38150872219582,109.69529237110372,6.423534345067845,5.928703631846298
rev,240,220,2,-230.6185710323393,-182.20854605787844,14.594168092203912,106.75667942262163,-229.3077231716256,-181.0538987849059,5.113898312379307,114.0297486037252,6.053356992605383,5.925284605811935
rev,240,220,3,-230.2477724325797,-182.32874799435893,6.7477035172875635,111.86252048741446,-230.04932037114483,-180.81349491194496,20.806827462212002,103.81806647413953,5.9775100702243185,5.8072663255083725
