direction,pwm,start_K_ss,end_K_ss,dK_pct,start_tau,end_tau,dtau_pct,n_start,n_end
fwd,200,126.13930945381169,134.58852827925068,6.6983233553635655,102.00196452310088,96.70513765239669,-5.192867505512206,3,3
rev,200,-133.14014685600455,-138.02952845926131,3.6723570753942405,91.28054329986207,89.00672580095987,-2.4910209960435674,3,3
