direction,pwm,K_ss_mean,K_ss_std,Td_mean,Td_std,tau_mean,tau_std,n
fwd,160,52.35895874587459,3.1427747278254192,20.0,17.320508075688775,166.66666666666666,23.094010767585033,3
fwd,200,123.88538481848185,1.3079999101864792,10.0,0.0,96.66666666666667,5.77350269189626,3
fwd,240,210.50900000000001,4.706709756294718,10.0,0.0,173.33333333333334,5.77350269189626,3
rev,160,-69.75321650165017,1.8264458349232235,16.666666666666668,11.547005383792516,170.0,26.457513110645905,3
rev,200,-131.83607326732673,0.68841685394507,10.0,0.0,90.0,0.0,3
rev,240,-222.73336666666668,2.5139441209647737,10.0,0.0,170.0,10.0,3
