direction,start_pwm,target_pwm,run,y_init,y_final,Td_ms,tau_ms,rms_decel,rms_total,fit_ok
fwd,240,100,1,220.6543688910435,2.1737888201118345,26.912267238774508,365.5146109213447,4.889787975199442,4.706006207180853,True
fwd,240,100,2,220.99533986924658,-0.022650496852651577,24.601911239964593,368.08697740304353,4.610345586873607,3.499397262694065,True
fwd,240,100,3,219.78233008478406,1.1089038708443126,25.02311091507076,365.09231490985877,4.715131376508734,4.02298778793018,True
fwd,240,180,1,220.04002177135777,95.0806116678873,4.5173433227839673e-10,353.1499225034798,4.213217130415206,4.433506988362082,True
fwd,240,180,2,218.91907667321726,93.78423516084415,5.526500067797586e-16,356.26274918407427,4.2145477812284105,4.412835639033128,True
fwd,240,180,3,220.6442551915433,93.67348448368807,0.9904350147315907,360.24077957819554,4.420134703656082,4.58834932157582,True
fwd,240,220,1,217.1355339738355,174.84986254329377,24.722369891662087,106.71358062151843,5.500474056236813,5.597796450149829,True
fwd,240,220,2,218.16547392697117,174.7516720363554,1.7310897113034706e-12,138.9902269283888,5.331312161043681,5.654274684271479,True
fwd,240,220,3,222.92138541080595,178.2142765126901,2.0316864665751444,122.89220424375625,5.448376466583903,5.801614653596805,True
rev,240,100,1,-232.2300980694824,-1.8292558447059846,17.061507930076008,371.30395612021556,5.137637926882546,4.83922317976865,True
rev,240,100,2,-225.38730771915328,-3.7684676576395585e-15,33.067540830406806,331.16317877107053,5.592589134542331,3.947605583081822,True
rev,240,100,3,-232.0871844875902,-4.570002634817284e-16,25.685812959546183,344.5954393578224,6.01093541557794,3.903246494893686,True
rev,240,180,1,-231.95663373408456,-97.31056282274271,4.187408820484211,320.16317986735,4.3075297794897205,4.443150362399767,True
rev,240,180,2,-230.9406932995231,-94.64046743453109,3.636390692400972,341.01803760764477,4.398812458875382,4.567742464235245,True
rev,240,180,3,-226.5607078854073,-96.73526405745211,9.999297170036787,302.80519632415417,4.276828692269275,4.495075060001612,True
rev,240,220,1,-231.18782169353378,-183.60359720381194,8.38150872219582,109.69529237110372,5.658313418209969,5.928703631846298,True
rev,240,220,2,-229.3077231716256,-181.0538987849059,5.113898312379307,114.0297486037252,5.609604168949874,5.925284605811935,True
rev,240,220,3,-230.04932037114483,-180.81349491194496,20.806827462212002,103.81806647413953,5.2009274730148825,5.8072663255083725,True
