direction,pwm,vmean_v,rpm_sweep,rpm_step_mean,rpm_step_std,count,disagreement_pct
fwd,160,2.2,70.0,52.35895874587459,3.1427747278254192,3,-25.201487505893446
rev,160,-3.48,-78.5,-69.75321650165017,1.8264458349232235,3,-11.142399360955194
fwd,200,4.85,130.5,123.88538481848185,1.3079999101864792,3,-5.068670637178657
rev,200,-5.79,-135.0,-131.83607326732673,0.68841685394507,3,-2.3436494316098333
fwd,240,8.41,223.0,210.50900000000001,4.706709756294718,3,-5.601345291479814
rev,240,-8.93,-225.0,-222.73336666666668,2.5139441209647737,3,-1.0073925925925853
