direction,pwm,run,K_ss_loocv,Td_loocv,tau_loocv,K_ss_self,Td_self,tau_self,rmse_rise,rmse_ss,rms_rise_self_floor,rms_ss_self_floor
fwd,180,1,90.28382436126219,0.778758393587561,105.36543691523377,86.62423767680336,8.555136158397541,93.1501062749788,6.0317582460834105,5.308961221818554,3.9775846259559504,4.150699712203442
fwd,180,2,89.31874114239817,2.9175424331716155,101.83659313463775,90.48457055225947,6.132252688699122e-11,107.26548139736289,3.777453131441158,3.9875500537029342,3.5674747124475954,3.8362243603337576
fwd,180,3,89.22609119558227,2.91754243318694,101.91905454570325,90.85517033952308,2.5143426243371196e-14,106.9356357531009,3.151668063880292,4.1455071949544,3.791488924220672,3.489436171981985
fwd,180,4,89.59965648459722,2.1387840396147566,104.08548269862688,89.3609091834633,3.115033574288759,98.26992314140638,3.97058066824807,3.6007779708926715,3.507644643790383,3.7893221663049292
fwd,180,5,89.33122193801232,2.917542433186912,101.40528664171224,90.43464736980293,1.3709927033908835e-13,108.9907073690649,2.954275687175382,3.4609508404553493,3.6329737353613494,3.3135743950735645
fwd,220,1,175.45169378630433,6.8228252635619455,108.82836974350245,175.05977467628512,4.845643004396879,106.72011216679476,5.7800837867739565,5.542375145885972,5.254981558529509,5.594846667728104
fwd,220,2,175.31073899398385,6.29131708788642,108.82729495556987,175.62359384556706,6.971675707098978,106.72441131852509,4.182101520740807,5.298332660625035,4.87676891006593,4.920198646117421
fwd,220,3,175.2668534295187,6.157872185648985,108.67075911248489,175.7991361034276,7.50545531604872,107.350554690865,4.309965089223689,5.13772669280815,4.994847823774947,5.085332237622515
fwd,220,4,175.45256944239114,6.244860509223889,107.93769130136167,175.05627205193784,7.1575020217491065,110.2828259353579,4.837003988451203,5.147294650495883,4.828556445912395,5.237766590780999
fwd,220,5,175.3846941693044,6.620069012323421,107.76947602788569,175.32777314428483,5.656668009350976,110.9556870292618,4.650930302670525,5.0531923737825055,4.873395546084972,5.090972336038104
rev,180,1,-93.65332523835968,1.0236004885403318,93.42213570857314,-95.2275064178926,2.1433418981288574,91.69922568812295,3.7868377117111383,3.678602542243336,3.1982443384201678,3.595614433446414
rev,180,2,-93.8551586116157,0.8824963099923444,93.04743443546704,-94.42017292486848,2.7077586123208066,93.19803078054737,3.9653528734640417,3.300956433883143,3.38508898367404,3.339967270615903
rev,180,3,-94.08939003970545,1.5594359629563774,93.13662170257683,-93.48324721250958,4.64674471416405e-10,92.84128171210814,3.927079136015864,3.425034730259146,3.219987709163423,3.8143976931412977
rev,180,4,-94.05859380273088,1.5594359630262247,92.86593118507736,-93.60643216040782,1.8528562511274982e-10,93.92404378210603,2.5622708506578205,3.40232120401805,3.4406126048011454,3.286296976200645
rev,180,5,-94.18433967891963,1.212775127774906,92.91564549072112,-93.10344865565285,1.38664334119056,93.72518655953101,2.9373681995353005,3.6128946894498424,3.480589917982569,3.056915605443145
rev,220,1,-180.1170317956906,7.234124103609851,102.48420579610327,-179.59516077713548,8.406764541630404,103.09683597504088,5.126731965961625,5.251482342801165,4.967986386022908,5.266065074846664
rev,220,2,-179.86341918503285,7.078495246390496,102.25139630156086,-180.60961121976624,9.029279970507824,104.02807395321054,4.59380016981177,5.2466318704384065,4.977990419336827,5.413957117715123
rev,220,3,-180.20314747757232,7.598122894369338,103.27275241589173,-179.25069804960847,6.950769378592461,99.94264949588707,4.350002127639852,5.5165668367331255,5.037037275487384,5.277442819449689
rev,220,4,-179.90723604163946,7.538770350312926,102.59008425456192,-180.43434379333982,7.188179554818108,102.67332214120631,3.93675367292376,5.699558660269148,5.21156057440009,5.526932149535189
rev,220,5,-179.9724534599625,7.8937483613872,102.4352203913362,-180.17347412004773,5.768267510521014,103.29277759410917,5.618230134736462,5.523038238994773,5.3006925389536255,5.6358691883712195
