type,direction,condition,n_trials,loocv_rmse_mean,loocv_rmse_std,in_sample_floor,excess
accel,fwd,PWM=160,3,4.589207961334224,2.4228350197762096,2.614922146084851,1.974285815249373
accel,fwd,PWM=200,3,3.2992927088016017,1.238621179394594,2.4775016944133204,0.8217910143882814
accel,fwd,PWM=240,3,6.440092711605712,0.5177537541686984,4.688880514236544,1.7512121973691679
accel,rev,PWM=160,3,5.160976690347713,0.3557213138084364,4.029168305173038,1.1318083851746747
accel,rev,PWM=200,3,2.3632672681206754,0.08985438462802642,2.6580324380397338,-0.2947651699190583
accel,rev,PWM=240,3,8.12463098542955,0.8626323023239222,7.172695185211289,0.9519358002182603
decel,fwd,240→0,3,5.171395441637016,0.06617929914708402,5.159631860222574,0.011763581414442115
decel,fwd,240→160,3,4.4634220682507,0.06242473650786655,4.316481753848344,0.14694031440235555
decel,rev,240→0,3,5.4120580453556215,0.3697592155361195,5.389409265873436,0.022648779482185688
decel,rev,240→160,3,2.9608696647365202,0.6550470255495981,2.734705079210175,0.22616458552634544
